# Orthros 5-round experiment keys and correlations
# Mode   : 2
# Offset : 3
# ΔL     : 00000000000000000000066600000000
# ΔR     : 00000000010100000000000000000000
# Output : 00000000220200000000000000000000
ExperimentID,Key,Correlation
1,2ed33a50b3767d517e9c746af63e4507,+5.229422822595e-05
2,152a8591bc3484b2ac4da19b213eef83,+4.654750227928e-05
3,cdb4ce967458b4822bf59d7b34c96da7,+3.058114089072e-05
4,491eda7a217b6a4ce9dd5949f2b35aa9,+3.592786379158e-05
5,99fd19efa6bf57d38993fb4c44577a25,+4.742457531393e-05
6,91bed3bb36ceccbcbe11cf20b02b67d1,+4.715425893664e-05
7,c11888b2a9e6fa7b80b077377b042938,+4.891678690910e-05
8,edd92fc3f19fe59141bb718d6cd74621,+5.855713970959e-05
9,f87d4a0634c6294111bf7a2736d0d36f,+5.078734830022e-05
10,c7451150b0b9fd32fd49f8251362f2d5,+3.451248630881e-05
11,a518df6d2b74b6ec5a8c9f9e3efde060,+6.241071969271e-05
12,7a89210b4ab75161f0a85be16ae3fa47,+3.569666296244e-05
13,7a8339cf1755e2414c258f871b22a66c,+5.137664265931e-05
14,282ac46e2b4753850a8839ff5099856e,+5.325861275196e-05
15,9d8f08548ee04d7293373b26eeafee2e,+5.093845538795e-05
16,398091928f7973d421a47dcdf663d9cc,+3.618537448347e-05
17,7ab8cf73a6d0fda2089aec2b9cb6b0ce,+4.456448368728e-05
18,9ffa5c367cb8742d20f92bc42ed05fe4,+2.923491410911e-05
19,c546b3f4609c5d5b59b75c4680be385c,+5.374685861170e-05
20,485759b1e29c29f66c2cadf3343c7c9a,+3.182725049555e-05
21,fa3986ccfe9e99f79c6826f2f7092513,+4.435912705958e-05
22,8760a4f21454a08bdf714500bb083445,+5.340599454939e-05
23,d450179657b57a562c4265b4acfdf2a0,+5.418458022177e-05
24,96347439723eb600b8446b4f32d099ba,+5.743256770074e-05
25,7d27a3ed467bab9e4655f99f7b13880b,+3.791856579483e-05
26,ddd56c6f1d53fbec02b194e631e4df16,+3.518047742546e-05
27,d3884a0af6510736728cfc080515d504,+3.274134360254e-05
28,903c30b178ad596fe9785d703cc9e70f,+5.826423875988e-05
29,b06c1c55946a76933b26e7c94e2861de,+4.300940781832e-05
30,f6fcf5488557c11753f2a3fe876ba0e1,+3.482145257294e-05
31,15af467d29b59bde332438331285d6c8,+2.277921885252e-05
32,4ebe98d27b8c1821c4dccf8ded220d51,+5.901558324695e-05
33,1a27672a4e1fb3a6e075ef3d9bd61ffd,+4.764972254634e-05
34,a9dd0473e08261eec88c5fcba54cac01,+3.563729114830e-05
35,db4f9013d4d836fdd2db61cc1a29d0a6,+3.099930472672e-05
36,2fab459fb650730f9eaefe8e6a5433bc,+4.972657188773e-05
37,eb336b5c7b552300b1adb411323465b8,+2.954294905066e-05
38,a977ddf3fd5c4f029ca874b146798043,+4.511768929660e-05
39,4a98a307b24a81416740aa51c81324ed,+3.573880530894e-05
40,50a3dc335d9a91a121d84c49004b834d,+1.924391835928e-05
41,b30a5e2938b27d5f2c1f8ef199c13ab4,+4.560709930956e-05
42,be1ad6534d5a76a4f84ce3c0240c18e4,+1.650559715927e-05
43,64a1ab14937b8934b8913302b7a7c7ef,+3.958144225180e-05
44,13e25272086f8d94405d95618075ea03,+4.130811430514e-05
45,5bfe52bbdbb37e162a7ec89ea6e1c09a,+3.228965215385e-05
46,4e773344f628bdbfc69ad70a1fdd0d3b,+3.551319241524e-05
47,323d7a56da8d80048cfe4a463bc15365,+5.572312511504e-05
48,3fb15907dfce20bb38d7578ab2b95be2,+2.671475522220e-05
49,5ff1fb934244b7063b5bd8a98f3c50a5,+3.844755701721e-05
50,ba052f4cadecbb6813a490ec4dd860bc,+4.220404662192e-05
51,583c54c00f18d8cae351ca04708b7539,+2.615712583065e-05
52,e43f6891ecd34c0dbc2598fb304b2ab3,+5.038036033511e-05
53,ccbbb2297f39d31730fd072fd788bf42,+3.712507896125e-05
54,02b0d14a84578a7f3e275032d6546910,+2.994597889483e-05
55,8a10db53d0713de91594902c40b4240a,+5.522137507796e-05
56,09c827b7889440d6f197e3e9cf1c5c28,+5.395757034421e-05
57,fd2c0d3ce637c594d1fc30178e45e429,+3.447057679296e-05
58,ff4fd391df1f68ad959c62027b47f2af,+6.128009408712e-05
59,5c1e3b5abb74a5d60bddca4055a70118,+2.323533408344e-05
60,7b5088e63a0f74f219d558e0b143e5e0,+5.359598435462e-05
61,cbe74907e73b1a136b2de94660eee839,+3.052712418139e-05
62,592283c618bd0ceb189390b7e13ef83a,+2.872827462852e-05
63,6289b50e07ba732ebf3e57cd90c146b2,+3.550900146365e-05
64,c1d1526a279d0510f0793462cf7b6090,+3.395602107048e-05
65,92c52ed433ebfa044988409a1a8aebc9,+3.918609581888e-05
66,c9d6411928e366d29cb49591e443e959,+4.633376374841e-05
67,7c17c803b920053736e2cb9c9c326b0a,+4.459847696126e-05
68,03a745821e6a4cbc1966ab5969a0a162,+4.007690586150e-05
69,122ae091c2d71a98005ea0a283e1463a,+3.126286901534e-05
70,854af835fbecdd9cfd4ebf9efc73a70e,+4.340405575931e-05
71,ebd83873a8c5ec109f4b88de08a903d8,+3.667362034321e-05
72,ad090020bc24a64f7cce992a3488b735,+3.045261837542e-05
73,6007d217ad232b9d66cd307751645b32,+1.849932596087e-05
74,a3c796604b26fafe7fb425da426bad33,+4.382547922432e-05
75,fb9e2c3c66b3944c20a3ce28f01988e6,+3.728154115379e-05
76,73ca849eb9b2c0acebcbef9625ae6e73,+2.232380211353e-05
77,6ccc24e78508019635252230978dd7b7,+4.645925946534e-05
78,0930b1ca7dc18ab4a5b7188144d2b9f5,+3.758934326470e-05
79,46a3d3a2f30bbab5196a219c64caa0bd,+2.869544550776e-05
80,c34ea3dac8975259a7a8fa0ad9d923bc,+4.309392534196e-05
81,c834e9339ad2ef1a6fd7858e71b95691,+2.921675331891e-05
82,83b9112f19439ae042946f6703b2cf4b,+4.317378625274e-05
83,e15e7f6211f8d33dbc9b32c5b1151b3c,+5.005928687751e-05
84,51155206563663c7495e1bc3da693c47,+2.947123721242e-05
85,47ff7c9f9efe938f47b2ebdb95c87b8c,+3.469618968666e-05
86,148c77508d2c51f28046f3292e62bab8,+2.616713754833e-05
87,8662b63d83dda424d5fc09e73f367300,+4.304200410843e-05
88,4177f179caa3dc22366c9dad31c4e233,+4.619592800736e-05
