# Orthros 5-round experiment keys and correlations
# Mode   : 2
# Offset : 3
# ΔL     : 00002020000000000000000000000000
# ΔR     : 00000000000044000000000000000000
# Output : 00000000000000000000000000002022
ExperimentID,Key,Correlation
46,e6a080e963cd973748f6179aeb60558b,+4.744874313474e-04
47,84f49acf2f9d97bcb638574cedb77bb0,+4.839408211410e-04
48,08060625ee07a3aff9adf460f75d8030,+5.052830092609e-04
49,1b675f794e4a026ef40ec9f90e6eff65,+4.994976334274e-04
50,76ab7e9c9b3868e77124326fc305298f,+5.271825939417e-04
51,49a0aa90acc3d25f3259f900c0730963,+5.115242674947e-04
52,f26acc4dec3d98ff4de4ba922c4f8f1c,+4.747803322971e-04
53,9be5215d7eac3378d21a4eef57a0c3be,+4.951898008585e-04
54,38df7bdb80116ee550b84f5ec73e2b1c,+5.081505514681e-04
55,df3d0544b1d8eeb3c3df55b022254ed8,+5.376893095672e-04
56,cf127ccc69e8b206e0a6d64195511522,+5.067652091384e-04
57,25665d45dff31a234c5ce3ebdeebd9dc,+4.976047202945e-04
58,6c2509fb3f04f49a3139cc1ddcfa33c0,+5.317949689925e-04
59,2f3e3000243f333d6d501bb728ee9e90,+5.401661619544e-04
60,980ec8769cfba91023004a1816817c42,+5.125231109560e-04
61,a8ad321721f6e9861121f74ade648ca7,+5.616410635412e-04
62,3828e8cc9d7f4520f54890be36bf1979,+4.858234897256e-04
63,55cdb5d2920d64a0f15017c06a6f1e3c,+5.260612815619e-04
64,2d36c12c28dab2b06897669ad6c5e246,+5.158227868378e-04
65,4662d756c9c58fbd946afb5e26b7bdfa,+5.123685114086e-04
66,e5553f573b49d0066bb3448b9e563c85,+5.105589516461e-04
67,e5b0272870928c2c7fd293b7c4d476b9,+5.156579427421e-04
68,c3ddd9e45fc71b048bfb5432f37efc71,+4.949178546667e-04
69,999fc759a364490c46d90e6328bc01b3,+5.059614777565e-04
70,a99d71ff6c23b56033d4e24570222260,+4.967767745256e-04
71,cbe33672b75958f97bb9f5665fe03e4d,+5.003544501960e-04
72,258dcab54e5a8490750d97426b351e29,+5.064923316240e-04
73,1f02a91f90b16f5bc26cc9606bb63519,+5.003376863897e-04
74,e03a6f5061e274933c1a96e660882f32,+4.792138934135e-04
75,babcef1b2140411aa559e14f5ff85d49,+5.245823413134e-04
76,b2aa30d138e9d1db132b6efeadad4c1f,+5.048615857959e-04
77,311f48d42260daccb14362fac28681b4,+4.928638227284e-04
78,73cec5609240c4c1e925b6db9ccac808,+4.890798591077e-04
79,bd936a404c58deb89739eee7fb9fd362,+4.942216910422e-04
80,e01a0b2a71d80cd7c82796fac8bda4bb,+4.762387834489e-04
81,a0a8acb601b5a2cbc443ab4ec51b7093,+5.211955867708e-04
82,583f9c2f165368319f1eedb4b92c467b,+4.957993514836e-04
83,e6d37f7e56ca96186f18c5c728bbf366,+5.356473848224e-04
84,bb6de1dca250caa689b0a05e399edb22,+5.215662531555e-04
85,f64f0334c19f732565cf63257f101510,+5.071340128779e-04
86,f8e33f626f4e42248f8e994cc32ab97e,+4.958724603057e-04
87,33d289eed64ebd9cd5f13621feeef992,+5.048257298768e-04
88,1333758cf83ba2bcbf91e8ee8fa7e583,+4.927795380354e-04
89,a90b312109f209ac2b089218a2449dfe,+5.229390226305e-04
90,c069a590ff381afe6b2f8c17bbed782d,+5.017160438001e-04
91,b9f0368eee4fa08c6a7a48306c7456b1,+5.063046701252e-04
92,598a69c9da782965fe44ba9adf4f4138,+5.104877054691e-04
93,a8aeb521b8c617c0829303334c575237,+5.153585225344e-04
94,07f79a4ca9e01241709005bf24fa9fea,+4.949443973601e-04
95,11f851019568e9461035a9463d963d4f,+5.327975377440e-04
96,a883c561c9cbe9056b8d0f9a787e3799,+5.328324623406e-04
97,f4e4157dc761be259411c3ae0b53db15,+5.354243330657e-04
98,9fb463ff78d7028732f0707ea6c42f8c,+4.881336353719e-04
99,d46c138c15096db03402b213facb7118,+5.145370960236e-04
100,2fa92ec54b86be2559a00ad37eca23e7,+5.176435224712e-04
