# Orthros 5-round experiment keys and correlations
# Mode   : 2
# Offset : 3
# ΔL     : 00002020000000000000000000000000
# ΔR     : 00000000000044000000000000000000
# Output : 00000000000000000000000000002022
ExperimentID,Key,Correlation
1,86bd013765dfbdb4fbb68c1655198734,+5.025775171816e-04
2,0cab4cacfc2d8275cfcc8c0e01c78d81,+5.131042562425e-04
3,8968beb7319c081fc6f57aa068c0befc,+5.069235339761e-04
4,5317bf3e0e908bd473689e5271c94723,+4.905378445983e-04
5,84e85248df5f99946818567504c87917,+5.244468338788e-04
6,bdb69d0ea475806816029c3c6b9b4c04,+5.086227320135e-04
7,66d012325178b7ce521b9206c6c771a4,+5.167759954929e-04
8,6d6c8929e456fd379daeb5984d6911b9,+5.260002799332e-04
9,94ef00ce02a407cdf0310ca75038f8f2,+5.143256857991e-04
10,9a54cc36075839af81affa7d6d310af2,+4.844185896218e-04
11,f1936a48f943e35884d0e8b57238812a,+5.289018154144e-04
12,3822e969b44e1d71e0732d167b001e54,+5.336455069482e-04
13,9c92d9aaedaadad6ecd2a899b5db2fde,+5.001225508749e-04
14,5194e3119ea68691712ee7ef6e0ebf59,+5.153818055987e-04
15,e1bb6c678dfa6feb6457ded585b6ff0a,+5.148220807314e-04
16,5f6f89c073b9371d0ded4a209b6f9aaf,+5.385531112552e-04
17,2887fb9fef7df0f729ba0a8b31457504,+5.012634210289e-04
18,94976fa37d54059525a88124557b6d99,+5.099386908114e-04
19,c157bbb71c1b39e57bc0bef722e7900d,+5.177743732929e-04
20,dbe8ee620ee9a9c4b9a08dcb2c76715f,+4.911962896585e-04
21,dc5f6d6c7a146eb1d0ae0ab55f8300bb,+4.971851594746e-04
22,b433e29bdadef47379bf384ea546261c,+5.159741267562e-04
23,48c2297365cf207fbeedf48439e0b10f,+5.092150531709e-04
24,d8a8ee5b17f39e6d756faf6348617c87,+5.215178243816e-04
25,b626396cc875b6f37328aa8d8950c5f2,+4.891357384622e-04
26,6aa8a8bd49eb83d747ba7225d79645ee,+5.119694396853e-04
27,4a095c3010facaf0cc012720b7344f68,+5.343738012016e-04
28,248c74958edfb751929fb0ceb3a39061,+5.106856115162e-04
29,a53d7ae3cf71a5f6a44d951aa174576d,+4.993733018637e-04
30,83cb17615d6e6a9cd6f29ffac753c8f1,+5.266102962196e-04
31,c24dfbbde44428f2bb75437862f0350e,+5.000694654882e-04
32,bf9a3c5a8ca2a619fe565bf1c56645af,+4.954389296472e-04
33,fbfe3e7f719d18f509f276d405822b32,+5.057970993221e-04
34,1b980a53bee807be21d9aed890bbc278,+4.925886169076e-04
35,0453fd1416b2ca558f5c14f54974e217,+5.056280642748e-04
36,75814ec54a6711f4a36948ef4ae62f30,+4.993099719286e-04
37,710cf469decfa23ab38b4c0a475a90e8,+4.796399734914e-04
38,5d98940f457301d0a1910ee275ce7021,+4.953932948411e-04
39,63e6f565c0d2851d234529ac73af5637,+5.126376636326e-04
40,5264c5f0450ac873eda898dba2533502,+5.238070152700e-04
41,8e3340b79a5b1353b7dcbad06564913b,+4.930598661304e-04
42,d0be922d53e49c5329a2734b625d1f74,+4.991204477847e-04
43,6e14b499a8a80ae99be866cd821ce528,+5.028918385506e-04
44,1c41321c73526e6b0df6b1dd7e1b76cd,+4.898575134575e-04
45,53a571acb95c05258fc5df5817780866,+5.280566401780e-04
