# Orthros 5-round Differential-Linear Correlation Analysis
# Mode   : 2
# Offset : 3
# ΔL     : 00002020000000000000000000000000
# ΔR     : 00000000000044000000000000000000
# Output : 00000000000000000000000000002022
# Experiments : 100
# GPU configuration: 512 blocks x 1024 threads
# Samples per thread: 2^13
# Generated by Orthros DLCT CUDA implementation
correlation
5.025775171816e-04
5.131042562425e-04
5.069235339761e-04
4.905378445983e-04
5.244468338788e-04
5.086227320135e-04
5.167759954929e-04
5.260002799332e-04
5.143256857991e-04
4.844185896218e-04
5.289018154144e-04
5.336455069482e-04
5.001225508749e-04
5.153818055987e-04
5.148220807314e-04
5.385531112552e-04
5.012634210289e-04
5.099386908114e-04
5.177743732929e-04
4.911962896585e-04
4.971851594746e-04
5.159741267562e-04
5.092150531709e-04
5.215178243816e-04
4.891357384622e-04
5.119694396853e-04
5.343738012016e-04
5.106856115162e-04
4.993733018637e-04
5.266102962196e-04
5.000694654882e-04
4.954389296472e-04
5.057970993221e-04
4.925886169076e-04
5.056280642748e-04
4.993099719286e-04
4.796399734914e-04
4.953932948411e-04
5.126376636326e-04
5.238070152700e-04
4.930598661304e-04
4.991204477847e-04
5.028918385506e-04
4.898575134575e-04
5.280566401780e-04
4.744874313474e-04
4.839408211410e-04
5.052830092609e-04
4.994976334274e-04
5.271825939417e-04
5.115242674947e-04
4.747803322971e-04
4.951898008585e-04
5.081505514681e-04
5.376893095672e-04
5.067652091384e-04
4.976047202945e-04
5.317949689925e-04
5.401661619544e-04
5.125231109560e-04
5.616410635412e-04
4.858234897256e-04
5.260612815619e-04
5.158227868378e-04
5.123685114086e-04
5.105589516461e-04
5.156579427421e-04
4.949178546667e-04
5.059614777565e-04
4.967767745256e-04
5.003544501960e-04
5.064923316240e-04
5.003376863897e-04
4.792138934135e-04
5.245823413134e-04
5.048615857959e-04
4.928638227284e-04
4.890798591077e-04
4.942216910422e-04
4.762387834489e-04
5.211955867708e-04
4.957993514836e-04
5.356473848224e-04
5.215662531555e-04
5.071340128779e-04
4.958724603057e-04
5.048257298768e-04
4.927795380354e-04
5.229390226305e-04
5.017160438001e-04
5.063046701252e-04
5.104877054691e-04
5.153585225344e-04
4.949443973601e-04
5.327975377440e-04
5.328324623406e-04
5.354243330657e-04
4.881336353719e-04
5.145370960236e-04
5.176435224712e-04
